filename,env_cluster,speech_cluster
1131c3cf86fa406c903c842d06359c1c.wav,0,0
ec68a0f362f14151a3de4538f1687413.mp3,1,1
4919b232adb34ae2af27afa9b1a875db.wav,2,2
ce90098d73664786840f76056d886cdd.wav,3,3
a4f2d025f78847139ef7a894e3254f5b.wav,4,4
25ecbf3889254da18d7f48c1c69f5dae.wav,5,5
a76ad34258cf4468b40228b0d63f150d.wav,6,6
213c758c44494e22a4f6c44929421f46.wav,7,7
2fa7ac2439e148f495bfbef34bccd55f.wav,8,8
f9f29fa81f3a4185897bb4af91305b08.wav,9,9
7db3a6cf693d4fc988251a33e5e32d3d.flac,10,10
9eb9fca5c72d416888c0c970ee54efdc.wav,11,11
8a03e0e494ec43689ed36116fdb5d017.wav,12,12
403c7c4a1b21485faf3c779584721386.mp3,13,13
94cdc05c54cc4f1db6273b5cd68699a3.wav,14,14
0f7fa6beb7564879b235f64e2d7d1b13.wav,15,15
420febf797e7426ca62e6db2c5bc308f.wav,16,16
2e326f474341459185453408dd34c166.mp3,17,17
4c4bed7a9faa47d8a68cd8f6513fc28b.wav,18,18
2f3070386c654f20ac1b08b3986ea660.wav,19,19
8ff7ce62833f43258c2a43a431cd39ea.wav,20,20
b9cff2111b8d4a02ae1390e4fdffe450.wav,21,21
b21aa3bd44e540a28bd453593a14f6d2.wav,22,22
6ff3316145db43b7becd07ec5d06912d.wav,23,23
97d7a4c7aa86462997ee7eb68443633c.wav,24,24
8fd5c8e8a685424895329503dc408883.wav,25,25
0ee6e12e139e4e4f949ee539f5ba2a82.wav,26,26
9c8b33c1d1c44b81a89f150c2efac053.mp3,27,27
8fdc9e4e09ca49739eebe2bb19770ddc.wav,28,28
56b0780b95094dcdbe40785ad5368590.wav,29,29
2648f1ec6d78499eb5dc48bb0eba462f.wav,30,30
f6bbb68bd0a5445a85ebd0b16ae07769.wav,31,31
9fe878de80ee4364b308334a0848bb86.wav,32,32
92da1bda8a32408f809836841d92a6dd.wav,33,33
ec155c3aea714ddbb3b641008a5d1136.wav,34,34
235fd040ccfb41c986b24ac02399dd10.wav,35,35
